feature,importance,std
pX_E3x5_Lr1,-0.00011388888888894667,0.00012263188919247402
pX_nCells_Lr0_HiG,-0.00011666666666672043,9.606453592103901e-05
averageInteractionsPerCrossing,-0.0001194444444444942,9.132934568206199e-05
pX_pos,-0.0001194444444444942,9.382969863363902e-05
pX_maxEcell_z,-0.0001194444444444942,6.460946305340786e-05
pX_e255,-0.00012222222222227908,8.069910581297456e-05
pX_e1152,-0.00012500000000005286,0.00011735905652375945
pX_deltaEta3,-0.00016666666666672602,6.334307917216574e-05
pX_e237,-0.00017500000000005844,9.217033346130984e-05
p_TRTTrackOccupancy,-0.00017777777777781001,0.00010333930687633166
pX_nCells_Lr2_HiG,-0.00020555555555560324,7.777777777778692e-05
pX_E3x5_Lr2,-0.00022222222222226807,7.136240321481138e-05
pX_deltaPhi2,-0.0002277777777778267,7.837075544260585e-05
